id,label,vertex.id,team,onset,onset.censored,terminus,terminus.censored,duration
Cliff Levingston,Cliff Levingston,91,ATL,,FALSE,,FALSE,
Clyde Lee,Clyde Lee,92,ATL,,FALSE,,FALSE,
Clyde Lovellette,Clyde Lovellette,93,ATL,,FALSE,,FALSE,
Connie Hawkins,Connie Hawkins,94,ATL,,FALSE,,FALSE,
Corey Benjamin,Corey Benjamin,95,ATL,,FALSE,,FALSE,
Craig Ehlo,Craig Ehlo,96,ATL,,FALSE,,FALSE,
Craig Shelton,Craig Shelton,97,ATL,,FALSE,,FALSE,
Dahntay Jones,Dahntay Jones,98,ATL,,FALSE,,FALSE,
Dale Schlueter,Dale Schlueter,99,ATL,,FALSE,,FALSE,
Damien Wilkins,Damien Wilkins,100,ATL,,FALSE,,FALSE,
Damion Lee,Damion Lee,101,ATL,,FALSE,,FALSE,
Dan Dickau,Dan Dickau,102,ATL,,FALSE,,FALSE,
Dan Roundfield,Dan Roundfield,103,ATL,,FALSE,,FALSE,
Daniel Hamilton,Daniel Hamilton,104,ATL,,FALSE,,FALSE,
Danny Manning,Danny Manning,105,ATL,,FALSE,,FALSE,
Darrin Hancock,Darrin Hancock,106,ATL,,FALSE,,FALSE,
Darvin Ham,Darvin Ham,107,ATL,,FALSE,,FALSE,
Dave Gambee,Dave Gambee,108,ATL,,FALSE,,FALSE,
Dave Minor,Dave Minor,109,ATL,,FALSE,,FALSE,
Dave Newmark,Dave Newmark,110,ATL,,FALSE,,FALSE,
Dave Piontek,Dave Piontek,111,ATL,,FALSE,,FALSE,
Dean Meminger,Dean Meminger,112,ATL,,FALSE,,FALSE,
DeAndre' Bembry,DeAndre' Bembry,113,ATL,,FALSE,,FALSE,
Dee Gibson,Dee Gibson,114,ATL,,FALSE,,FALSE,
DeMarre Carroll,DeMarre Carroll,115,ATL,,FALSE,,FALSE,
Dennis DuVal,Dennis DuVal,116,ATL,,FALSE,,FALSE,
Dennis Hamilton,Dennis Hamilton,117,ATL,,FALSE,,FALSE,
Dennis Schroder,Dennis Schroder,118,ATL,,FALSE,,FALSE,
DerMarr Johnson,DerMarr Johnson,119,ATL,,FALSE,,FALSE,
Derrick Alston,Derrick Alston,120,ATL,,FALSE,,FALSE,
DeShawn Stevenson,DeShawn Stevenson,121,ATL,,FALSE,,FALSE,
Devin Harris,Devin Harris,122,ATL,,FALSE,,FALSE,
Dewayne Dedmon,Dewayne Dedmon,123,ATL,,FALSE,,FALSE,
Dexter Pittman,Dexter Pittman,124,ATL,,FALSE,,FALSE,
Deyonta Davis,Deyonta Davis,125,ATL,,FALSE,,FALSE,
Dick Mehen,Dick Mehen,126,ATL,,FALSE,,FALSE,
Dick Ricketts,Dick Ricketts,127,ATL,,FALSE,,FALSE,
Dick Schulz,Dick Schulz,128,ATL,,FALSE,,FALSE,
Dick Snyder,Dick Snyder,129,ATL,,FALSE,,FALSE,
Dick Surhoff,Dick Surhoff,130,ATL,,FALSE,,FALSE,
Dickey Simpkins,Dickey Simpkins,131,ATL,,FALSE,,FALSE,
Dijon Thompson,Dijon Thompson,132,ATL,,FALSE,,FALSE,
Dike Eddleman,Dike Eddleman,133,ATL,,FALSE,,FALSE,
Dikembe Mutombo,Dikembe Mutombo,134,ATL,,FALSE,,FALSE,
Dillard Crocker,Dillard Crocker,135,ATL,,FALSE,,FALSE,
Dion Glover,Dion Glover,136,ATL,,FALSE,,FALSE,
Doc Rivers,Doc Rivers,137,ATL,,FALSE,,FALSE,
Dominique Wilkins,Dominique Wilkins,138,ATL,,FALSE,,FALSE,
Don Adams,Don Adams,139,ATL,,FALSE,,FALSE,
Don Boven,Don Boven,140,ATL,,FALSE,,FALSE,
Don Collins,Don Collins,141,ATL,,FALSE,,FALSE,
Don Lofgran,Don Lofgran,142,ATL,,FALSE,,FALSE,
Don May,Don May,143,ATL,,FALSE,,FALSE,
Don Ohl,Don Ohl,144,ATL,,FALSE,,FALSE,
Don Otten,Don Otten,145,ATL,,FALSE,,FALSE,
Don Ray,Don Ray,146,ATL,,FALSE,,FALSE,
Don Rehfeldt,Don Rehfeldt,147,ATL,,FALSE,,FALSE,
Don Sunderlage,Don Sunderlage,148,ATL,,FALSE,,FALSE,
Donald Sloan,Donald Sloan,149,ATL,,FALSE,,FALSE,
Donald Whiteside,Donald Whiteside,150,ATL,,FALSE,,FALSE,
Donnie Boyce,Donnie Boyce,151,ATL,,FALSE,,FALSE,
Donta Smith,Donta Smith,152,ATL,,FALSE,,FALSE,
Doug Edwards,Doug Edwards,153,ATL,,FALSE,,FALSE,
Drew Barry,Drew Barry,154,ATL,,FALSE,,FALSE,
Duane Ferrell,Duane Ferrell,155,ATL,,FALSE,,FALSE,
Dudley Bradley,Dudley Bradley,156,ATL,,FALSE,,FALSE,
Dwight Howard,Dwight Howard,157,ATL,,FALSE,,FALSE,
Dwight Jones,Dwight Jones,158,ATL,,FALSE,,FALSE,
Dwight Waller,Dwight Waller,159,ATL,,FALSE,,FALSE,
Ed Beach,Ed Beach,160,ATL,,FALSE,,FALSE,
Ed Burton,Ed Burton,161,ATL,,FALSE,,FALSE,
Ed Gayda,Ed Gayda,162,ATL,,FALSE,,FALSE,
Ed Gray,Ed Gray,163,ATL,,FALSE,,FALSE,
Ed Macauley,Ed Macauley,164,ATL,,FALSE,,FALSE,
Ed Peterson,Ed Peterson,165,ATL,,FALSE,,FALSE,
Eddie Johnson Jr.,Eddie Johnson Jr.,166,ATL,,FALSE,,FALSE,
Eddie Mast,Eddie Mast,167,ATL,,FALSE,,FALSE,
Eddie Miller,Eddie Miller,168,ATL,,FALSE,,FALSE,
Edy Tavares,Edy Tavares,169,ATL,,FALSE,,FALSE,
Eldridge Recasner,Eldridge Recasner,170,ATL,,FALSE,,FALSE,
Elmer Behnke,Elmer Behnke,171,ATL,,FALSE,,FALSE,
Elton Brand,Elton Brand,172,ATL,,FALSE,,FALSE,
Emanual Davis,Emanual Davis,173,ATL,,FALSE,,FALSE,
Ennis Whatley,Ennis Whatley,174,ATL,,FALSE,,FALSE,
Erick Dampier,Erick Dampier,175,ATL,,FALSE,,FALSE,
Ernie Beck,Ernie Beck,176,ATL,,FALSE,,FALSE,
Ersan Ilyasova,Ersan Ilyasova,177,ATL,,FALSE,,FALSE,
Esteban Batista,Esteban Batista,178,ATL,,FALSE,,FALSE,
Etan Thomas,Etan Thomas,179,ATL,,FALSE,,FALSE,
Frank Selvy,Frank Selvy,180,ATL,,FALSE,,FALSE,
Frankie Brian,Frankie Brian,181,ATL,,FALSE,,FALSE,
Fred Diute,Fred Diute,182,ATL,,FALSE,,FALSE,
Fred LaCour,Fred LaCour,183,ATL,,FALSE,,FALSE,
Fred Vinson,Fred Vinson,184,ATL,,FALSE,,FALSE,
Freeman Williams,Freeman Williams,185,ATL,,FALSE,,FALSE,
Gary Gregor,Gary Gregor,186,ATL,,FALSE,,FALSE,
Gary Leonard,Gary Leonard,187,ATL,,FALSE,,FALSE,
Gary Neal,Gary Neal,188,ATL,,FALSE,,FALSE,
Gene Berce,Gene Berce,189,ATL,,FALSE,,FALSE,
Gene Dyker,Gene Dyker,190,ATL,,FALSE,,FALSE,
Gene Englund,Gene Englund,191,ATL,,FALSE,,FALSE,
Gene Tormohlen,Gene Tormohlen,192,ATL,,FALSE,,FALSE,
Gene Vance,Gene Vance,193,ATL,,FALSE,,FALSE,
George Feigenbaum,George Feigenbaum,194,ATL,,FALSE,,FALSE,
George T. Johnson,George T. Johnson,195,ATL,,FALSE,,FALSE,
George Lehmann,George Lehmann,196,ATL,,FALSE,,FALSE,
George Nostrand,George Nostrand,197,ATL,,FALSE,,FALSE,
George Ratkovicz,George Ratkovicz,198,ATL,,FALSE,,FALSE,
George Trapp,George Trapp,199,ATL,,FALSE,,FALSE,
Gerry Ward,Gerry Ward,200,ATL,,FALSE,,FALSE,
Glenn Robinson Jr.,Glenn Robinson Jr.,201,ATL,,FALSE,,FALSE,
Grady O'Malley,Grady O'Malley,202,ATL,,FALSE,,FALSE,
Grant Long,Grant Long,203,ATL,,FALSE,,FALSE,
Greg Anderson,Greg Anderson,204,ATL,,FALSE,,FALSE,
Greg Foster,Greg Foster,205,ATL,,FALSE,,FALSE,
Gus Williams,Gus Williams,206,ATL,,FALSE,,FALSE,
Gustavo Ayon,Gustavo Ayon,207,ATL,,FALSE,,FALSE,
Hank DeZonie,Hank DeZonie,208,ATL,,FALSE,,FALSE,
Hanno Mottola,Hanno Mottola,209,ATL,,FALSE,,FALSE,
Harry Boykoff,Harry Boykoff,210,ATL,,FALSE,,FALSE,
Haywoode Workman,Haywoode Workman,211,ATL,,FALSE,,FALSE,
Henry Dickerson,Henry Dickerson,212,ATL,,FALSE,,FALSE,
Henry James,Henry James,213,ATL,,FALSE,,FALSE,
Herb Scherer,Herb Scherer,214,ATL,,FALSE,,FALSE,
Herb White,Herb White,215,ATL,,FALSE,,FALSE,
Herm Gilliam,Herm Gilliam,216,ATL,,FALSE,,FALSE,
Hilton Armstrong,Hilton Armstrong,217,ATL,,FALSE,,FALSE,
Hiram Fuller,Hiram Fuller,218,ATL,,FALSE,,FALSE,
Howard Nathan,Howard Nathan,219,ATL,,FALSE,,FALSE,
Howard Wright,Howard Wright,220,ATL,,FALSE,,FALSE,
Hub Reed,Hub Reed,221,ATL,,FALSE,,FALSE,
Ira Bowman,Ira Bowman,222,ATL,,FALSE,,FALSE,
Ira Newble,Ira Newble,223,ATL,,FALSE,,FALSE,
Irv Bemoras,Irv Bemoras,224,ATL,,FALSE,,FALSE,
Isaac Humphries,Isaac Humphries,225,ATL,,FALSE,,FALSE,
Isaac Walthour,Isaac Walthour,226,ATL,,FALSE,,FALSE,
